Project,Chain,Available,Net APY,Net Supply APY,Net Borrow APY,LTV,Supplied,Borrowed,Borrow,Lend
🪂0vix,Polygon,977927.0,-1.98,1.17,-4.19,75.0,1118755.0,407729.0,WBTC,USDC
dForce,Polygon,941769.0,-2.35,0.0,-3.14,80.0,63083.0,1487.0,WBTC,USDC
AAVE V3,Polygon,11.88,-2.09,2.19,-5.7,75.0,6391543.0,4182503.0,USDT,WMATIC
🪂0vix,Polygon,506884.0,-2.18,1.25,-4.58,80.0,1130708.0,426365.0,USDT,MATICX
🪂0vix,Polygon,468365.0,-2.57,1.25,-5.09,80.0,1130708.0,426365.0,USDT,STMATIC
🪂0vix,Polygon,446865.0,-3.01,1.25,-5.69,80.0,1130708.0,426365.0,USDT,MATIC
dForce,Polygon,22055.0,0.18,3.39,-4.28,85.0,2642944.0,1710504.0,USDT,MATIC
🪂0vix,Polygon,506884.0,-2.27,1.17,-4.58,75.0,1118755.0,407729.0,WBTC,MATICX
🪂0vix,Polygon,468365.0,-2.65,1.17,-5.09,75.0,1118755.0,407729.0,WBTC,STMATIC
🪂0vix,Polygon,446865.0,-3.1,1.17,-5.69,75.0,1118755.0,407729.0,WBTC,MATIC
dForce,Polygon,22055.0,-3.21,0.0,-4.28,80.0,63083.0,1487.0,WBTC,MATIC
AAVE V2,Polygon,15.27,-1.95,0.99,-3.91,80.0,62.06,30.19,USDC,WMATIC
AAVE V3,Polygon,11.88,-3.6,0.68,-5.7,82.5,28.09,11.41,USDC,WMATIC
🪂0vix,Polygon,506884.0,-2.49,0.95,-4.58,80.0,1456837.0,478910.0,USDC,MATICX
🪂0vix,Polygon,468365.0,-2.87,0.95,-5.09,80.0,1456837.0,478910.0,USDC,STMATIC
🪂0vix,Polygon,446865.0,-3.32,0.95,-5.69,80.0,1456837.0,478910.0,USDC,MATIC
dForce,Polygon,22055.0,-0.13,3.08,-4.28,85.0,2764471.0,1822702.0,USDC,MATIC
AAVE V2,Polygon,15.27,-2.9,0.03,-3.91,80.0,86.83,4818448.0,WETH,WMATIC
AAVE V3,Polygon,11.88,-4.13,0.15,-5.7,80.0,23.15,2409659.0,WETH,WMATIC
🪂0vix,Polygon,506884.0,-2.43,1.01,-4.58,75.0,976896.0,331062.0,WETH,MATICX
🪂0vix,Polygon,468365.0,-2.81,1.01,-5.09,75.0,976896.0,331062.0,WETH,STMATIC
🪂0vix,Polygon,446865.0,-3.26,1.01,-5.69,75.0,976896.0,331062.0,WETH,MATIC
dForce,Polygon,22055.0,-3.03,0.18,-4.28,80.0,32686.0,5667.0,WETH,MATIC
AAVE V2,Polygon,15.27,-2.48,0.45,-3.91,75.0,31.73,9913446.0,DAI,WMATIC
AAVE V3,Polygon,11.88,-3.68,0.6,-5.7,75.0,5498341.0,1921896.0,DAI,WMATIC
dForce,Polygon,22055.0,-0.7,2.51,-4.28,85.0,1296174.0,700853.0,DAI,MATIC
🪂0vix,Polygon,506884.0,-2.27,1.17,-4.58,75.0,1118755.0,407729.0,WBTC,MATICX
🪂0vix,Polygon,468365.0,-2.65,1.17,-5.09,75.0,1118755.0,407729.0,WBTC,STMATIC
🪂0vix,Polygon,446865.0,-3.1,1.17,-5.69,75.0,1118755.0,407729.0,WBTC,MATIC
dForce,Polygon,22055.0,-3.21,0.0,-4.28,80.0,63083.0,1487.0,WBTC,MATIC
AAVE V2,Polygon,21.82,-0.19,0.99,-1.56,80.0,62.06,30.19,USDC,DAI
AAVE V3,Polygon,3576445.0,-0.63,0.68,-1.75,82.5,28.09,11.41,USDC,DAI
dForce,Polygon,595321.0,1.42,3.08,-2.22,85.0,2764471.0,1822702.0,USDC,DAI
🪂0vix,Polygon,284313.0,-4.88,0.95,-7.77,80.0,1456837.0,478910.0,USDC,DAI
dForce,Polygon,595321.0,-1.67,0.0,-2.22,80.0,63083.0,1487.0,WBTC,DAI
🪂0vix,Polygon,284313.0,-4.66,1.17,-7.77,75.0,1118755.0,407729.0,WBTC,DAI
AAVE V2,Polygon,21.82,-1.14,0.03,-1.56,80.0,86.83,4818448.0,WETH,DAI
